Batch	Sample	CloneFiltered_Reads	CloneFilter_Pct_FromInitial
P2B	101_Montenegro	414002	4.4
P2C	103_Nantes	1052599	8.9
P2C	104_Rostock	3147590	6.1
P2C	107_Rumaenien_18070a	1579971	4.6
P2C	108_Rumaenien_18070a	964605	3.9
P2A	10_Bjerremark	324449	8.6
P2D	114_Hoeoer	1183582	4.3
P2D	115_Jaervafaeltet	1296729	7.3
P2D	116_Estland_TU_273776	693611	3.8
P2D	117_Estland_TU_373737	1590533	6.2
P2A	118_Ida_Virunaa	233962	3.2
P2A	119_Viljandi	763752	7.7
P2C	11_Trentino	40575	5.6
P2A	122_Rumaenien_18070a	560063	6.0
P2A	123_Rumaenien_18065b	464462	5.4
P2C	124_Rumaenien_18065b	490500	5.5
P2C	125_Rumaenien_18065b	336321	4.3
P2B	131_Snidavka	741819	6.6
P2B	132_Roztoky	358066	5.7
P2B	133_England_G	415117	7.7
P2B	134_England_H	336102	9.8
P2A	14_Ulfstorp	503488	9.4
P2A	17_Brunnby	436990	9.9
P2B	22_1_Stehag	984153	11.2
P2B	22_2_Stehag	497032	7.9
P2B	22_3_Stehag	497903	8.1
P2A	22_Stehag	974230	13.3
P2B	24_Kungsmarken	405864	8.7
P2C	27_Kastberga_skog	1262987	10.4
P2C	28_Kastberga_aeng	1093068	8.0
P2C	29_Bielefeld	1249446	12.5
P2C	30_Goerlitz	530723	8.5
P2D	49_Trento_B_hirsuta	1050840	9.3
P2D	50_Dazendorf	953172	8.5
P2D	51_Seegalendorf	1223698	11.8
P2D	70_Vindeholme	3518539	11.5
P2A	72_Nancy	1363149	4.5
P2A	73_Gomel	1580917	7.7
P2A	74_Pest	4910883	5.7
P2A	76_Trinapolis	4756487	10.7
P2B	77_Kwidzyn	756128	10.1
P2B	79_Brockadale	1103609	10.7
P2B	80_Maltby	890346	3.4
