pop1	pop2	mean_FST	CI95_low	CI95_high	n_sites_boot
Balkan	Baltic	0.0090582	0.0046742300	0.0135366000	3373
Balkan	Central	0.020165	0.0171976000	0.0229236000	4193
Balkan	Scandi	0.044547	0.0410430000	0.0482862000	4009
Balkan	Western	0.17799	0.1686310000	0.1875180000	4124
Baltic	Central	0.017332	0.0132917000	0.0216163000	3681
Baltic	Scandi	0.049839	0.0442841000	0.0552894000	3488
Baltic	Western	0.20209	0.1910590000	0.2124200000	3559
Central	Scandi	0.032181	0.0289199000	0.0355256000	4072
Central	Western	0.16418	0.1546400000	0.1728520000	4237
Scandi	Western	0.19579	0.1857140000	0.2058480000	3762
