pop1	pop2	mean_FST	CI95_low	CI95_high	n_sites_boot
Balkan	Baltic	0.0090582	0.0048424000	0.0132714000	3373
Balkan	Central	0.020165	0.0174905000	0.0229919000	4193
Balkan	Introduced	0.020374	0.0130039000	0.0274629000	3455
Balkan	Scania	0.071947	0.0666404000	0.0777377000	3295
Balkan	Western	0.17799	0.1686530000	0.1880230000	4124
Baltic	Central	0.017332	0.0131896000	0.0218638000	3681
Baltic	Introduced	0.0024026	-0.0058845400	0.0110297000	2857
Baltic	Scania	0.10454	0.0968803000	0.1120340000	2722
Baltic	Western	0.20209	0.1914420000	0.2127870000	3559
Central	Introduced	0.00094847	-0.0056515800	0.0082125500	3578
Central	Scania	0.054788	0.0500157000	0.0595000000	3448
Central	Western	0.16418	0.1562750000	0.1727220000	4237
Introduced	Scania	0.11284	0.1039670000	0.1228010000	2600
Introduced	Western	0.16185	0.1506720000	0.1730100000	3072
Scania	Western	0.25468	0.2436840000	0.2659490000	3251
