Batch	Sample	Mean_Phred_Read1
P2B	101_Montenegro	34.92
P2C	103_Nantes	34.9
P2C	104_Rostock	34.91
P2C	107_Rumaenien_18070a	34.91
P2C	108_Rumaenien_18070a	34.81
P2A	10_Bjerremark	34.69
P2D	114_Hoeoer	34.82
P2D	115_Jaervafaeltet	34.76
P2D	116_Estland_TU_273776	34.83
P2D	117_Estland_TU_373737	34.94
P2A	118_Ida_Virunaa	34.68
P2A	119_Viljandi	34.77
P2C	11_Trentino	34.83
P2A	122_Rumaenien_18070a	34.68
P2A	123_Rumaenien_18065b	34.85
P2C	124_Rumaenien_18065b	34.75
P2C	125_Rumaenien_18065b	34.88
P2B	131_Snidavka	34.93
P2B	132_Roztoky	34.72
P2B	133_England_G	34.45
P2B	134_England_H	34.53
P2A	14_Ulfstorp	34.54
P2A	17_Brunnby	34.77
P2B	22_1_Stehag	34.97
P2B	22_2_Stehag	34.9
P2B	22_3_Stehag	34.78
P2A	22_Stehag	34.79
P2B	24_Kungsmarken	34.8
P2C	27_Kastberga_skog	34.77
P2C	28_Kastberga_aeng	34.68
P2C	29_Bielefeld	34.83
P2C	30_Goerlitz	34.53
P2D	49_Trento_B_hirsuta	34.72
P2D	50_Dazendorf	34.82
P2D	51_Seegalendorf	34.77
P2D	70_Vindeholme	34.89
P2A	72_Nancy	34.57
P2A	73_Gomel	34.86
P2A	74_Pest	34.88
P2A	76_Trinapolis	34.91
P2B	77_Kwidzyn	34.76
P2B	79_Brockadale	34.72
P2B	80_Maltby	34.75
