Batch	Sample	Total_Reads	Retained_Reads	Pct_Retained	Properly_Paired_x	Pct_Properly_Paired	Read	Properly_Paired_y	CloneFiltered_Reads	CloneFilter_Pct_FromInitial	GC_Content_Read1	Mean_Phred_Read1
P2B	101_Montenegro	9336214	5765451	61.8	1174191	25.2	1	1174191	414002	4.4	53.0	34.92
P2C	103_Nantes	11858278	8631379	72.8	2794007	47.1	1	2794007	1052599	8.9	50.0	34.9
P2C	104_Rostock	51536822	34250949	66.5	8937774	34.7	1	8937774	3147590	6.1	55.0	34.91
P2C	107_Rumaenien_18070a	34080106	21050238	61.8	4322333	25.4	1	4322333	1579971	4.6	50.0	34.91
P2C	108_Rumaenien_18070a	25027352	14877871	59.4	2585250	20.7	1	2585250	964605	3.9	47.0	34.81
P2A	10_Bjerremark	3756558	2676113	71.2	846762	45.1	1	846762	324449	8.6	41.0	34.69
P2D	114_Hoeoer	27282864	16666113	61.1	3254947	23.9	1	3254947	1183582	4.3	51.0	34.82
P2D	115_Jaervafaeltet	17708658	12161852	68.7	3408711	38.5	1	3408711	1296729	7.3	48.0	34.76
P2D	116_Estland_TU_273776	18320940	10830330	59.1	1915320	20.9	1	1915320	693611	3.8	48.0	34.83
P2D	117_Estland_TU_373737	25556600	17083477	66.8	4575141	35.8	1	4575141	1590533	6.2	55.0	34.94
P2A	118_Ida_Virunaa	7218182	4185273	58.0	648326	18.0	1	648326	233962	3.2	48.0	34.68
P2A	119_Viljandi	9983088	7020180	70.3	2128276	42.6	1	2128276	763752	7.7	56.0	34.77
P2C	11_Trentino	723690	421210	58.2	81794	22.6	1	81794	40575	5.6	45.0	34.83
P2A	122_Rumaenien_18070a	9395240	6121824	65.2	1504265	32.0	1	1504265	560063	6.0	44.0	34.68
P2A	123_Rumaenien_18065b	8568790	5494433	64.1	1265993	29.5	1	1265993	464462	5.4	41.0	34.85
P2C	124_Rumaenien_18065b	8867430	5661812	63.8	1285396	29.0	1	1285396	490500	5.5	40.0	34.75
P2C	125_Rumaenien_18065b	7901410	4788454	60.6	887350	22.5	1	887350	336321	4.3	42.0	34.88
P2B	131_Snidavka	11176948	7583996	67.9	2060449	36.9	1	2060449	741819	6.6	55.0	34.93
P2B	132_Roztoky	6334442	4028499	63.6	931451	29.4	1	931451	358066	5.7	44.0	34.72
P2B	133_England_G	5393632	3711611	68.8	1058184	39.2	1	1058184	415117	7.7	42.0	34.45
P2B	134_England_H	3435102	2552076	74.3	865630	50.4	1	865630	336102	9.8	41.0	34.53
P2A	14_Ulfstorp	5375544	4007601	74.6	1376969	51.2	1	1376969	503488	9.4	42.0	34.54
P2A	17_Brunnby	4432840	3361304	75.8	1200484	54.2	1	1200484	436990	9.9	41.0	34.77
P2B	22_1_Stehag	8811770	7242868	82.2	2882626	65.4	1	2882626	984153	11.2	56.0	34.97
P2B	22_2_Stehag	6281604	4521109	72.0	1423340	45.3	1	1423340	497032	7.9	49.0	34.9
P2B	22_3_Stehag	6113562	4419944	72.3	1416754	46.3	1	1416754	497903	8.1	51.0	34.78
P2A	22_Stehag	7310658	6378965	87.3	2765626	75.7	1	2765626	974230	13.3	51.0	34.79
P2B	24_Kungsmarken	4681268	3453240	73.8	1150525	49.2	1	1150525	405864	8.7	52.0	34.8
P2C	27_Kastberga_skog	12145262	9338116	76.9	3330565	54.8	1	3330565	1262987	10.4	47.0	34.77
P2C	28_Kastberga_aeng	13687538	9683610	70.7	2936079	42.9	1	2936079	1093068	8.0	49.0	34.68
P2C	29_Bielefeld	10028064	8290678	82.7	3320599	66.2	1	3320599	1249446	12.5	52.0	34.83
P2C	30_Goerlitz	6209112	4422537	71.2	1404373	45.2	1	1404373	530723	8.5	44.0	34.53
P2D	49_Trento_B_hirsuta	11242532	8063935	71.7	2801065	49.8	1	2801065	1050840	9.3	47.0	34.72
P2D	50_Dazendorf	11172002	8033577	71.9	2592945	46.4	1	2592945	953172	8.5	46.0	34.82
P2D	51_Seegalendorf	10344520	8137250	78.7	3170123	61.3	1	3170123	1223698	11.8	47.0	34.77
P2D	70_Vindeholme	30697256	25062444	81.6	9843134	64.1	1	9843134	3518539	11.5	61.0	34.89
P2A	72_Nancy	30337866	18635281	61.4	3710232	24.5	1	3710232	1363149	4.5	42.0	34.57
P2A	73_Gomel	20664186	14699757	71.1	4526669	43.8	1	4526669	1580917	7.7	54.0	34.86
P2A	74_Pest	86804952	56804715	65.4	14156956	32.6	1	14156956	4910883	5.7	60.0	34.88
P2A	76_Trinapolis	44417434	35619552	80.2	13698877	61.7	1	13698877	4756487	10.7	63.0	34.91
P2B	77_Kwidzyn	7462306	5736777	76.9	2050907	55.0	1	2050907	756128	10.1	50.0	34.76
P2B	79_Brockadale	10345860	8105098	78.3	2974614	57.5	1	2974614	1103609	10.7	50.0	34.72
P2B	80_Maltby	26100682	15293573	58.6	2416769	18.5	1	2416769	890346	3.4	49.0	34.75
